import time: self [us] | cumulative | imported package
import time:        84 |         84 | winreg
import time:       184 |        184 |   _io
import time:        31 |         31 |   marshal
import time:       160 |        160 |   nt
import time:       552 |        925 | _frozen_importlib_external
import time:       478 |        478 |   time
import time:       231 |        709 | zipimport
import time:        69 |         69 |     _codecs
import time:       689 |        757 |   codecs
import time:      1067 |       1067 |   encodings.aliases
import time:      1569 |       3392 | encodings
import time:       456 |        456 | encodings.utf_8
import time:       429 |        429 | encodings.cp1254
import time:        46 |         46 | _signal
import time:        32 |         32 |     _abc
import time:       164 |        195 |   abc
import time:       141 |        335 | io
import time:        61 |         61 |       _stat
import time:       101 |        162 |     stat
import time:       893 |        893 |     _collections_abc
import time:       160 |        160 |       genericpath
import time:       119 |        119 |       _winapi
import time:       337 |        616 |     ntpath
import time:       691 |       2361 |   os
import time:        95 |         95 |   _sitebuiltins
import time:        68 |         68 |   errno
import time:       629 |        629 |   encodings.utf_8_sig
import time:       977 |        977 |   _distutils_hack
import time:       131 |        131 |   sitecustomize
import time:       111 |        111 |   usercustomize
import time:      1204 |       5573 | site
import time:       793 |        793 | __future__
import time:       160 |        160 |         itertools
import time:       475 |        475 |         keyword
import time:        81 |         81 |           _operator
import time:       602 |        682 |         operator
import time:       478 |        478 |         reprlib
import time:        70 |         70 |         _collections
import time:      1411 |       3274 |       collections
import time:        54 |         54 |       _functools
import time:      1010 |       4338 |     functools
import time:       534 |        534 |         types
import time:       812 |       1346 |       contextlib
import time:      1959 |       1959 |         enum
import time:       107 |        107 |           _sre
import time:       582 |        582 |             re._constants
import time:       969 |       1550 |           re._parser
import time:       593 |        593 |           re._casefix
import time:      1090 |       3339 |         re._compiler
import time:       456 |        456 |         copyreg
import time:       835 |       6588 |       re
import time:       141 |        141 |           posix
import time:       120 |        120 |           posix
import time:       154 |        414 |         posixpath
import time:       410 |        823 |       fnmatch
import time:       738 |       9493 |     glob
import time:       885 |      14715 |   pathlib._abc
import time:       756 |        756 |     warnings
import time:       148 |        148 |     pwd
import time:       124 |        124 |     grp
import time:      1035 |       2061 |   pathlib._local
import time:       662 |      17437 | pathlib
import time:        79 |         79 |         binascii
import time:       493 |        493 |           importlib
import time:       545 |        545 |           importlib._abc
import time:       177 |       1214 |         importlib.util
import time:       100 |        100 |           zlib
import time:       986 |        986 |             _compression
import time:      1376 |       1376 |             _bz2
import time:       776 |       3136 |           bz2
import time:       695 |        695 |             _lzma
import time:       689 |       1384 |           lzma
import time:      1369 |       5988 |         shutil
import time:       107 |        107 |           _struct
import time:       553 |        659 |         struct
import time:       636 |        636 |           _weakrefset
import time:      1047 |       1683 |         threading
import time:       646 |        646 |           zipfile._path.glob
import time:      1111 |       1756 |         zipfile._path
import time:      1202 |      12580 |       zipfile
import time:       683 |        683 |       base64
import time:      1171 |       1171 |       textwrap
import time:       547 |        547 |         linecache
import time:       638 |        638 |         _colorize
import time:      1352 |       2536 |       traceback
import time:        87 |         87 |           math
import time:        65 |         65 |             _bisect
import time:       508 |        573 |           bisect
import time:        41 |         41 |           _random
import time:       902 |       1602 |         random
import time:       793 |        793 |         weakref
import time:       912 |       3306 |       tempfile
import time:        60 |         60 |         _typing
import time:      2947 |       3007 |       typing
import time:        92 |         92 |         importlib.machinery
import time:       772 |        772 |         encodings.cp437
import time:       180 |        180 |         shibokensupport
import time:       116 |        116 |         shibokensupport.signature
import time:        84 |         84 |                 _ast
import time:      1392 |       1475 |               ast
import time:        55 |         55 |                   _opcode
import time:       538 |        538 |                   _opcode_metadata
import time:       665 |       1257 |                 opcode
import time:      1239 |       2496 |               dis
import time:       839 |        839 |                 token
import time:        59 |         59 |                 _tokenize
import time:      2276 |       3173 |               tokenize
import time:      2709 |       9851 |             inspect
import time:       969 |      10820 |           shibokensupport.feature
import time:      4443 |       4443 |           shibokensupport.signature.mapping
import time:      1180 |       1180 |           shibokensupport.signature.errorhandler
import time:       208 |        208 |                 shibokensupport.signature.lib
import time:       700 |        907 |               shibokensupport.signature.lib.tool
import time:     15800 |      16707 |             shibokensupport.signature.parser
